Id,DurableId,Label,MasterLabel,NamespacePrefix,DeveloperName,LogoUrl,Description,UiType,NavType,UtilityBar,HeaderColor,IsOverrideOrgTheme,IsSmallFormFactorSupported,IsMediumFormFactorSupported,IsLargeFormFactorSupported,IsNavPersonalizationDisabled,IsNavAutoTempTabsDisabled,IsNavTabPersistenceDisabled
000000000000000AAA,06mdM000004AcbDQAS,Sales,salesforce,standard,Sales,/img/salesforce-noname-logo-v2.svg,The world's most popular sales force automation (SFA) solution,Aloha,Standard,,#0070D2,False,False,False,False,False,False,False
000000000000000AAA,06mdM000004AcbPQAS,Service,supportforce,standard,Service,/img/salesforce-noname-logo-v2.svg,"Manage customer service with accounts, contacts, cases, and more",Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbQQAS,Marketing CRM Classic,Marketing,standard,Marketing,/img/salesforce-noname-logo-v2.svg,Track sales and marketing efforts with CRM objects.,Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbVQAS,App Launcher,AppLauncher,standard,AppLauncher,/img/salesforce-noname-logo-v2.svg,App Launcher tabs,Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbCQAS,Community,Community,standard,Community,/img/salesforce-noname-logo-v2.svg,Salesforce CRM Communities,Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbWQAS,Site.com,Sites,standard,Sites,/img/salesforce-noname-logo-v2.svg,"Build pixel-perfect, data-rich websites using the drag-and-drop Site.com application, and manage content and published sites.",Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbXQAS,Salesforce Chatter,Collaboration,standard,Chatter,/img/salesforce-noname-logo-v2.svg,"The Salesforce Chatter social network, including profiles and feeds",Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbcQAC,Content,Content,standard,Content,/img/salesforce-noname-logo-v2.svg,Salesforce CRM Content,Aloha,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbeQAC,Sales,Sales,standard,LightningSales,/img/salesforce-noname-logo-v2.svg,"Manage your sales process with accounts, leads, opportunities, and more",Lightning,Standard,LightningSales_UtilityBar,#0070D2,False,True,True,True,False,False,False
000000000000000AAA,06mdM000004AcbfQAC,Sales Console,Sales Console,standard,LightningSalesConsole,/img/salesforce-noname-logo-v2.svg,(Lightning Experience) Lets sales reps work with multiple records on one screen,Lightning,Console,LightningSalesConsole_UtilityBar,#0070D2,False,True,False,True,False,False,False
000000000000000AAA,06mdM000004AcbgQAC,Service Console,Service Console,standard,LightningService,/img/salesforce-noname-logo-v2.svg,(Lightning Experience) Lets support agents work with multiple records across customer service channels on one screen,Lightning,Console,LightningService_UtilityBar,#802ABE,False,True,False,True,False,False,False
000000000000000AAA,06mdM000004AcbhQAC,Lightning Usage App,LightningInstrumentation,standard,LightningInstrumentation,/img/salesforce-noname-logo-v2.svg,View Adoption and Usage Metrics for Lightning Experience,Lightning,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbFQAS,Digital Experiences,Salesforce CMS,standard,SalesforceCMS,/img/salesforce-noname-logo-v2.svg,Manage content and media for all of your sites.,Lightning,Console,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004AcbHQAS,All Tabs,AllTabSet,standard,AllTabSet,/img/salesforce-noname-logo-v2.svg,,Aloha,Standard,,#0070D2,False,False,False,False,False,False,False
000000000000000AAA,06mdM000004AcbKQAS,Playground Starter,Playground Starter,trlhdtips,Playground_Starter,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/file-asset/trlhdtips__thflogo?v=1,Get started with your Trailhead Playground.,Lightning,Standard,trlhdtips__Trailhead_Tips_UtilityBar,#0070D2,False,True,False,True,False,False,False
000000000000000AAA,06mdM000004AcbiQAC,Bolt Solutions,LightningBolt,standard,LightningBolt,/img/salesforce-noname-logo-v2.svg,Discover and manage business solutions designed for your industry.,Lightning,Standard,,#0070D2,False,False,False,True,False,False,False
000000000000000AAA,06mdM000004B2vRQAS,Dreamhouse,Dreamhouse,,Dreamhouse,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/file-asset/dreamhouselogosquare?v=1,,Lightning,Standard,,#86BD4A,False,True,False,True,False,False,False
000000000000000AAA,06mdM000004H7HJQA0,Energy Consultations,Energy Consultations,,Rahul,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/file-asset/energy?v=1,Track energy audits and product recommendations.,Lightning,Standard,Energy_Consultations_UtilityBar,#FA8B05,True,True,False,True,False,False,False
000000000000000AAA,06mdM000004z53hQAA,Suggestion Box,Suggestion Box,,Suggestion_Box,/img/salesforce-noname-logo-v2.svg,,Lightning,Standard,Suggestion_Box_UtilityBar,#0070D2,False,True,False,True,False,False,False
000000000000000AAA,06mdM000005GJrpQAG,Dreamhouse,Dreamhouse,,DreamhouseProject,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/file-asset/dreamhouselogo?v=1,,Lightning,Standard,Dreamhouse_UtilityBar,#0070D2,False,True,False,True,False,False,False
