Id,DurableId,ApiName,Label,Description,ProcessType,TriggerType,NamespacePrefix,ActiveVersionId,LatestVersionId,LastModifiedBy,IsActive,IsOutOfDate,LastModifiedDate,IsTemplate,IsOverridable,OverriddenById,SourceTemplateId,OverriddenFlowId,IsSwingFlow,Builder,ManageableState,InstalledPackageName,TriggerObjectOrEventLabel,TriggerObjectOrEventId,RecordTriggerType,HasAsyncAfterCommitPath,VersionNumber,TriggerOrder,Environments,ApiVersion
3dddM00000DMODuQAP,300dM00000DMODuQAP,Create_property,Create Property,This flow helps agents creating new properties in just a few clicks. It calculates the geocoded address calling out to a 3rd party service.,Flow,,,301dM00000HF5iLQAT,301dM00000HF5iLQAT,Rahul Fatnani,True,False,2024-07-10T06:10:13Z,False,False,,,,False,Flow Builder,installedEditable,,,,,False,1,,Default,51
3dddM00000H2zmIQAR,300dM00000H2zmIQAR,Update_Status,Update Status,,AutoLaunchedFlow,RecordBeforeSave,,301dM00000KFo4eQAD,301dM00000KFo4eQAD,Rahul Fatnani,True,False,2024-07-23T07:06:08Z,False,False,,,,False,Flow Builder,unmanaged,,Suggestion,01IdM000001h3Gb,CreateAndUpdate,False,1,,Default,61
3dddM00000IjD5CQAV,300dM00000IjD5CQAV,Variables,Variables,,Flow,,,,301dM00000MRadqQAD,Rahul Fatnani,False,False,2024-08-05T06:23:39Z,False,False,,,,False,Flow Builder,unmanaged,,,,,False,1,,Default,61
3dddM00426e305bQAA,cms_orch__CMS_BasicApprovalRequest,CMS_BasicApprovalRequest,Basic Approval Request,"Allows a content author to submit a content variant for content manager review, and allows for content variant revisions before the content manager approves for publication.",ManagedContentAuthoringWorkflow,,cms_orch,cms_orch__CMS_BasicApprovalRequest-1,cms_orch__CMS_BasicApprovalRequest-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0051dcf6c2QAA,cms_orch__CMS_EvalApprovalStepStatus,CMS_EvalApprovalStepStatus,CMS: Check Whether Any Step is Completed,Determines whether either of two specified steps in a stage has completed.,EvaluationFlow,,cms_orch,cms_orch__CMS_EvalApprovalStepStatus-1,cms_orch__CMS_EvalApprovalStepStatus-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0078518af7QAA,cms_orch__CMS_NotifyRequester,CMS_NotifyRequester,CMS: Notify Content Author,"Notifies the content author that their content variant has been approved, and allows the content author to conditionally view the final feedback for the content variant.",Flow,,cms_orch,cms_orch__CMS_NotifyRequester-1,cms_orch__CMS_NotifyRequester-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00e0c1a47fQAA,cms_orch__CMS_ReviewContent,CMS_ReviewContent,CMS: Review Content,"Allows a content manager to conditionally view a content author's feedback, provide revision comments, and approve or request revisions of a content variant.",Flow,,cms_orch,cms_orch__CMS_ReviewContent-1,cms_orch__CMS_ReviewContent-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM000185a9d2QAA,cms_orch__CMS_ReviseContent,CMS_ReviseContent,CMS: Submit Content for Review,"Allows a content author to conditionally view a reviewer's feedback, provide revision comments, and submit a content variant for review.",Flow,,cms_orch,cms_orch__CMS_ReviseContent-1,cms_orch__CMS_ReviseContent-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00b7acfb0aQAA,cms_orch__CMS_WithdrawReviewRequest,CMS_WithdrawReviewRequest,CMS: Withdraw Review Request,Allows a content author to withdraw a review request in order to make changes to the underlying content variant.,Flow,,cms_orch,cms_orch__CMS_WithdrawReviewRequest-1,cms_orch__CMS_WithdrawReviewRequest-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00000DMKMaQAP,300dM00000DMKMaQAP,customer_satisfaction,Customer Satisfaction,,Survey,,,301dM00000HEmo3QAD,301dM00000HEmo3QAD,Rahul Fatnani,True,False,2024-07-10T05:50:30Z,False,False,,,,False,Cloud Flow Designer,unmanaged,,,,,False,1,,Default,0
3dddM00000DMKMZQA5,300dM00000DMKMZQA5,net_promoter_score,Net Promoter Score,,Survey,,,301dM00000HEmo2QAD,301dM00000HEmo2QAD,Rahul Fatnani,True,False,2024-07-10T05:50:30Z,False,False,,,,False,Cloud Flow Designer,unmanaged,,,,,False,1,,Default,0
3dddM004fb9224cQAA,omnichannel_chat__QueuesChat,QueuesChat,Chats Routed to Agents and Queues,Routes each chat to an agent or queue based on conditions that you define.,RoutingFlow,,omnichannel_chat,omnichannel_chat__QueuesChat-1,omnichannel_chat__QueuesChat-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00ada8f608QAA,omnichannel_chat__SkillsChat,SkillsChat,Chats Routed to Agents with the Right Skills,Routes each chat to an agent with the required skills based on conditions that you define.,RoutingFlow,,omnichannel_chat,omnichannel_chat__SkillsChat-1,omnichannel_chat__SkillsChat-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM004ca4cf7cQAA,omnichannel_messaging__MsgRouting,MsgRouting,Messages Routed to Agents and Queues,Routes each message to an agent or queue based on conditions that you define.,RoutingFlow,,omnichannel_messaging,omnichannel_messaging__MsgRouting-1,omnichannel_messaging__MsgRouting-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00ac96a016QAA,omnichannel_voice__VoiceRouting,VoiceRouting,Voice Calls Routed to Agents and Queues,Routes each call to an agent or queue based on conditions that you define.,RoutingFlow,,omnichannel_voice,omnichannel_voice__VoiceRouting-1,omnichannel_voice__VoiceRouting-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0054a7dae6QAA,opencti__SCV_Basic_Routing_Flow,SCV_Basic_Routing_Flow,Voice Calls Routed to Basic Queue with Case Creation,"Routes each call to the default queue (Basic Queue) and, if the agent accepts, screen pops the new case for this call and identifies the caller.",RoutingFlow,,opencti,,opencti__SCV_Basic_Routing_Flow-1,,False,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,56
3dddM00a3137b27QAA,runtime_appointmentbooking__AddAttnd,AddAttnd,Add or Modify Service Appointment Attendees,"Add, modify, or delete a service appointment attendee record from a group service appointment.",Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__AddAttnd-1,runtime_appointmentbooking__AddAttnd-1,,True,False,,False,True,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00045f80e3QAA,runtime_appointmentbooking__Create_WL,Create_WL,Create Waitlist,Create a waitlist to manage drop-in customers for a service territory.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Create_WL-1,runtime_appointmentbooking__Create_WL-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00ccfbe7deQAA,runtime_appointmentbooking__EnrlAttnd,EnrlAttnd,Enroll or Unenroll Service Appointment Attendees,Enrolls or unenrolls a service appointment attendee from a group service appointment.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__EnrlAttnd-1,runtime_appointmentbooking__EnrlAttnd-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00a4c27026QAA,runtime_appointmentbooking__Flow,Flow,Outbound New Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Flow-1,runtime_appointmentbooking__Flow-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00e8b86226QAA,runtime_appointmentbooking__Guest_Flow,Guest_Flow,Inbound New Guest Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Guest_Flow-1,runtime_appointmentbooking__Guest_Flow-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00787c8786QAA,runtime_appointmentbooking__In_Cancel,In_Cancel,Inbound Cancel Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__In_Cancel-1,runtime_appointmentbooking__In_Cancel-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00d99c8a0dQAA,runtime_appointmentbooking__In_Modify,In_Modify,Inbound Modify Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__In_Modify-1,runtime_appointmentbooking__In_Modify-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0054eef853QAA,runtime_appointmentbooking__In_New,In_New,Inbound New Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__In_New-1,runtime_appointmentbooking__In_New-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0009df7293QAA,runtime_appointmentbooking__Inv_Book,Inv_Book,Book Appointment from Invitation,Use an appointment invitation to book an appointment.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Inv_Book-1,runtime_appointmentbooking__Inv_Book-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00ed77d2b6QAA,runtime_appointmentbooking__Inv_Gen,Inv_Gen,Generate Appointment Invitation,Creates an appointment invitation for internal or credentialed external users that can be shared with anyone.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Inv_Gen-1,runtime_appointmentbooking__Inv_Gen-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00215ea8fbQAA,runtime_appointmentbooking__ModGstAppt,ModGstAppt,Modify Guest Service Appointment,Modifies or cancels a service appointment for an unauthenticated user.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__ModGstAppt-1,runtime_appointmentbooking__ModGstAppt-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00fbbd9d7cQAA,runtime_appointmentbooking__Out_Modify,Out_Modify,Outbound Modify Appointment,,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Out_Modify-1,runtime_appointmentbooking__Out_Modify-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,58
3dddM008fa3a7f2QAA,runtime_appointmentbooking__Rasgn_Appt,Rasgn_Appt,Reassign Multiple Service Appointments,Reassign multiple service appointments of an unavailable service resource to other available service resources.,Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__Rasgn_Appt-1,runtime_appointmentbooking__Rasgn_Appt-1,,True,False,,False,True,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00d31b9103QAA,runtime_appointmentbooking__send_Invt,send_Invt,Send Appointment Invitation to Actionable List Members,"Creates an appointment invitation for internal and credentialed external users, and sends that invitation to the selected members of the actionable list.",Appointments,,runtime_appointmentbooking,runtime_appointmentbooking__send_Invt-1,runtime_appointmentbooking__send_Invt-1,,True,False,,False,True,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00093d77cfQAA,runtime_commerce_oms__Cancel_Item,Cancel_Item,Cancel Item Flow,Order Management: Cancel order items before fulfillment.,Flow,,runtime_commerce_oms,,runtime_commerce_oms__Cancel_Item-1,,False,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM008e9cc93cQAA,runtime_commerce_oms__Create_OS,Create_OS,Create Order Summary Flow,Order Management: Create an Order Summary record from an order.,AutoLaunchedFlow,RecordAfterSave,runtime_commerce_oms,,runtime_commerce_oms__Create_OS-1,,False,False,,True,False,,,,False,Flow Builder,installed,,Order,Order,CreateAndUpdate,False,1,,Default,61
3dddM00b71272f3QAA,runtime_commerce_oms__Create_PE,Create_PE,Create Process Exception Flow,Create a process exception record from a process exception event.,AutoLaunchedFlow,PlatformEvent,runtime_commerce_oms,,runtime_commerce_oms__Create_PE-1,,False,False,,True,False,,,,False,Flow Builder,installed,,Process Exception Event,ProcessExceptionEvent,,False,1,,Default,61
3dddM0003253fb6QAA,runtime_commerce_oms__Return_Item,Return_Item,Return Item Flow,Order Management: Return order items after fulfillment.,Flow,,runtime_commerce_oms,,runtime_commerce_oms__Return_Item-1,,False,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00010238f3QAA,runtime_industries_recurrence__Orch,Orch,Orchestration flow for Recurrence Scheduler,,AutoLaunchedFlow,Scheduled,runtime_industries_recurrence,runtime_industries_recurrence__Orch-1,runtime_industries_recurrence__Orch-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00d6862f11QAA,runtime_industries_recurrence__Schdlr,Schdlr,Recurrence Schedule Flow,Flow for creating object items from Recurrence Scheduler Records,AutoLaunchedFlow,,runtime_industries_recurrence,runtime_industries_recurrence__Schdlr-1,runtime_industries_recurrence__Schdlr-1,,True,False,,False,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM004e49caacQAA,runtime_payments__GeneratePaymentLink,GeneratePaymentLink,Generate Payment Link,,Flow,,runtime_payments,runtime_payments__GeneratePaymentLink-1,runtime_payments__GeneratePaymentLink-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM0086c0f4e6QAA,runtime_service_incident_mgmt__CCOIO,CCOIO,Change Case Owner to Incident Owner,"When Cases are identified as part of an Incident, change the Case owner to the Incident owner.",Flow,,runtime_service_incident_mgmt,,runtime_service_incident_mgmt__CCOIO-1,,False,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00fec4e7e2QAA,runtime_service_incident_mgmt__CRRI,CRRI,Close Change Request & Related Issues,"Closes a Change Request and attempts to close its related Incidents, Problems, and Cases.",Flow,,runtime_service_incident_mgmt,,runtime_service_incident_mgmt__CRRI-1,,False,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
3dddM00cd28f608QAA,setup_service_experience__Create_Case,Create_Case,Create a Case,,Flow,,setup_service_experience,setup_service_experience__Create_Case-1,setup_service_experience__Create_Case-1,,True,False,,True,False,,,,False,Flow Builder,installed,,,,,False,1,,Default,61
